Location,state
"USA: Kingsley, IA",Iowa
"USA:Missouri,Saint Louis",Missouri
USA: Montana,Montana
USA: Illinois,Illinois
"USA:Gainesville, Florida",Florida
USA:Michigan,Michigan
USA:Maryland,Maryland
"USA:Walla Walla,WA",Washington
"USA: Davidson County, Tennessee",Tennessee
USA: Atlanta,Atlanta
USA: Wisconsin,Wisconsin
"USA: Missouri, Kansas City",Missouri
USA:Minneapolis,Minneapolis
USA:Moscow,Moscow
USA:Mississippi,Mississippi
USA: University of Florida,Florida
"USA: CA, University Health Center",California
USA: OK,Oklahoma
USA: SC,South Carolina
USA: Arizona,Arizona
USA: upper Midwest,upper Midwest
"USA: Detroit, MI",Michigan
USA:VA Richmond,Virginia
USA:Lahey Hospital & Medical Center,Massachusetts
USA:North Colorado Medical Center,Colorado
USA:Ronald Reagan UCLA Medical Center,Louisiana
USA:University of Illinois Medical Center,Illinois
USA:Robert Wood Johnson,Robert Wood Johnson
USA: LA,Louisiana
USA: AL,Alabama
USA: ND,North Dakota
"USA: Adams, NE",Nebraska
"USA: Winthrop, IA",Iowa
"USA: Parkersburg, IA",Iowa
"USA: Minster, OH",Ohio
"USA: Milford, UT",Utah
"USA: Orange City, IA",Iowa
"USA: Brookings, SD",South Dakota
"USA: Fulda, MN",Minnesota
"USA: Unionville, MO",Missouri
"USA: Pigeon, MI",Michigan
"USA: Darien, WI",Wisconsin
"USA: Iowa City, IA",Iowa
"USA: Chickasaw, OH",Ohio
"USA: Noble, IL",Illinois
"USA: La Jolla, California",California
USA: Lafayette,Lafayette
"USA:Latah, ID",Idaho
USA: Maryland,Maryland
USA: Colorado,Colorado
USA: Milwaukee,Milwaukee
"USA: Athens, GA",Georgia
"USA: Snow Hill, NC",North Carolina
"USA: Danbury, IA",Iowa
USA: MD,Maryland
"USA: Frederick, MD",Maryland
"USA: Springfield, MN",Minnesota
"USA: Delphi, IN",Indiana
"USA: Cambridge, IA",Iowa
USA: Burlington,Vermont
USA:Mi,Mi
USA:Maine,Maine
"USA: Rock Valley, IA",Iowa
"USA: Elizabethtown, PA",Pennsylvania
"USA: Churdan, IA",Iowa
USA: Gainesville,Gainesville
USA: Mississippi river watershed,Mississippi
"USA: Curry County, Oregon",Oregon
USA:Chicago,Chicago
USA:Arizona,Arizona
"USA: Fairmont, MN",Minnesota
"USA: Gillespie, IL",Illinois
"USA: Hubbard, IA",Iowa
"USA: Hartley, IA",Iowa
"USA: Ryan, IA",Iowa
"USA: Worthington, MN",Minnesota
"USA: Mexico, IN",Indiana
"USA: Farley, IA",Iowa
"USA: Grinnell, IA",Iowa
"USA: Frankfort, IN",Indiana
"USA: Madrid, IA",Iowa
"USA: Canton, SD",South Dakota
"USA: Glidden, IA",Iowa
USA: Oklahoma City,Oklahoma
USA:midwest,midwest
USA:Illinois,Illinois
"USA: Santa Clara, CA",California
"USA: Santa Barbara, UCSB animal house",California
USA:Ann Arbor MI,Michigan
USA:Sacramento CA,California
USA:Jackson MS,Mississippi
USA:Seattle WA,Washington
USA:Dallas TX,Texas
USA:Atlanta,Atlanta
"USA: Aurora, CO",Colorado
"USA: Nashville, TN",Tennessee
USA:Pennsylvania,Pennsylvania
"USA: Gainesville, Florida",Florida
"USA: Alaska, Kasilof River",Alaska
USA:New York City,New York
"USA: Ipswich, MA",Massachusetts
"USA: Manchester, IA",Iowa
"USA: Dyersville, IA",Iowa
"USA: Independence, IA",Iowa
USA:California,California
"USA: Columbus, IA",Iowa
"USA: Boulder, CO",Colorado
USA: New Hampshire,New Hampshire
USA: Cambridge,Cambridge
"USA:California, Palo Alto",California
